checkout_id,member_id,first_name,last_name,grade,neighborhood,membership_status,join_date,book_id,title,author,genre,pages,publication_year,publisher,checkout_date,return_date,member_total_checkouts_combined,source,still_checked_out,unmatched_member
9263,1047,Sara,Rashad,,Heliopolis,Inactive,2024-06-25,517,Shadows on the Corniche,Hani Nagati,Mystery,338,2015.0,Delta House,2024-10-21,2024-11-07,16,database,False,False
9340,1072,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,513,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,2025-08-24,2025-09-01,14,database,False,False
9231,1053,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,523,Footsteps in the Dust,Laila Shokry,Historical,276,2018.0,Oasis Books,2024-02-04,2024-02-16,5,database,False,False
9129,1032,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,513,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,2025-06-21,2025-06-29,6,database,False,False
9370,1079,Rana,Osman,8.0,Shubra,Active,2024-10-27,511,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press,2025-11-11,2025-12-03,10,database,False,False
9082,1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,528,The Glass Beehive,Mona Kholoussy,Nature,114,2010.0,Delta House,2025-11-11,2025-11-18,18,database,False,False
9238,1057,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,513,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,2024-03-28,2024-04-08,10,database,False,False
9012,1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,501,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,2025-02-17,,18,database,True,False
9127,1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,506,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,2025-06-13,,17,database,True,False
9020,1016,Dina,Rashad,8.0,Maadi,Active,2023-04-24,506,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,2024-04-15,2024-05-04,7,database,False,False
9208,1044,Sherif,Saleh,7.0,Heliopolis,Active,2024-02-19,525,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,2024-07-10,2024-08-01,21,database,False,False
9319,1065,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,515,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,2025-02-10,2025-02-21,18,database,False,False
9097,1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,501,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,2025-10-05,2025-10-14,17,database,False,False
9137,1041,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,519,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,2025-07-27,2025-08-05,4,database,False,False
9157,1032,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,525,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,2024-03-04,2024-04-03,6,database,False,False
9383,1070,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,501,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,2024-07-11,2024-07-31,3,database,False,False
9131,1034,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,505,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books,2025-12-16,2025-12-25,25,database,False,False
9113,1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,507,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,2024-06-26,2024-07-08,18,database,False,False
9144,1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,501,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,2025-11-07,2025-11-25,17,database,False,False
9005,1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,513,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,2025-04-20,2025-04-29,19,database,False,False
9272,1044,Sherif,Saleh,7.0,Heliopolis,Active,2024-02-19,518,The Ninth Lighthouse,Hani Nagati,Adventure,163,2011.0,Delta House,2025-01-24,2025-02-04,21,database,False,False
9283,1072,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,513,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,2025-09-17,2025-09-25,14,database,False,False
9030,1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,507,Fossils and Fireflies,Dalia Serry,Science,160,2024.0,Nile Press,2025-03-09,,17,database,True,False
9291,1065,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,526,The Clockwork Orchard,Mahmoud Rafei,Science Fiction,125,2016.0,Delta House,2024-03-25,2024-03-31,18,database,False,False
9369,1076,Dina,Wahba,7.0,Shubra,Active,2025-12-13,501,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,2025-06-05,,7,database,True,False
